hp,dp,ap,hAmt,dAmt,aAmt,fairH,fairD,fairA,finalH,finalD,finalA,liabilityH,liabilityD,liabilityA,pnlH,pnlD,pnlA,maxLoss,riskRatio,hhi,entropy,dominance
0.6000,0.2500,0.1500,6000000,2500000,1500000,1.667,4.000,6.667,1.533,3.680,6.133,9200000,9199985,9199841,800000,800015,800159,800000,0.9200,0.4450,1.3527,heavy
0.6000,0.3000,0.1000,6000000,3000000,1000000,1.667,3.333,10.000,1.533,3.067,9.200,9200000,9200000,9199669,800000,800000,800331,800000,0.9200,0.4600,1.2955,heavy
0.6000,0.3500,0.0500,6000000,3500000,500000,1.667,2.857,20.000,1.533,2.629,18.398,9200000,9200000,9199154,800000,800000,800846,800000,0.9200,0.4850,1.1884,heavy
0.6000,0.4000,0.0000,6000000,4000000,0,1.667,2.500,Inf,1.533,2.300,999.000,9200000,9200000,0,800000,800000,10000000,800000,0.9200,0.5200,0.9710,heavy
0.6500,0.0000,0.3500,6500000,0,3500000,1.538,Inf,2.857,1.415,999.000,2.629,9200000,0,9200000,800000,10000000,800000,800000,0.9200,0.5450,0.9341,heavy
0.6500,0.0500,0.3000,6500000,500000,3000000,1.538,20.000,3.333,1.415,18.398,3.067,9200000,9199190,9200000,800000,800810,800000,800000,0.9200,0.5150,1.1412,heavy
0.6500,0.1000,0.2500,6500000,1000000,2500000,1.538,10.000,4.000,1.415,9.200,3.680,9200000,9199687,9199978,800000,800313,800022,800000,0.9200,0.4950,1.2362,heavy
0.6500,0.1500,0.2000,6500000,1500000,2000000,1.538,6.667,5.000,1.415,6.133,4.600,9200000,9199853,9199926,800000,800147,800074,800000,0.9200,0.4850,1.2789,heavy
0.6500,0.2000,0.1500,6500000,2000000,1500000,1.538,5.000,6.667,1.415,4.600,6.133,9200000,9199936,9199841,800000,800064,800159,800000,0.9200,0.4850,1.2789,heavy
0.6500,0.2500,0.1000,6500000,2500000,1000000,1.538,4.000,10.000,1.415,3.680,9.200,9200000,9199985,9199669,800000,800015,800331,800000,0.9200,0.4950,1.2362,heavy
0.6500,0.3000,0.0500,6500000,3000000,500000,1.538,3.333,20.000,1.415,3.067,18.398,9200000,9200000,9199154,800000,800000,800846,800000,0.9200,0.5150,1.1412,heavy
0.6500,0.3500,0.0000,6500000,3500000,0,1.538,2.857,Inf,1.415,2.629,999.000,9200000,9200000,0,800000,800000,10000000,800000,0.9200,0.5450,0.9341,heavy
0.7000,0.0000,0.3000,7000000,0,3000000,1.429,Inf,3.333,1.314,999.000,3.067,9200000,0,9200000,800000,10000000,800000,800000,0.9200,0.5800,0.8813,heavy
0.7000,0.0500,0.2500,7000000,500000,2500000,1.429,20.000,4.000,1.314,18.398,3.680,9200000,9199190,9199978,800000,800810,800022,800000,0.9200,0.5550,1.0763,heavy
0.7000,0.1000,0.2000,7000000,1000000,2000000,1.429,10.000,5.000,1.314,9.200,4.600,9200000,9199687,9199926,800000,800313,800074,800000,0.9200,0.5400,1.1568,heavy
0.7000,0.1500,0.1500,7000000,1500000,1500000,1.429,6.667,6.667,1.314,6.133,6.133,9200000,9199853,9199841,800000,800147,800159,800000,0.9200,0.5350,1.1813,heavy
0.7000,0.2000,0.1000,7000000,2000000,1000000,1.429,5.000,10.000,1.314,4.600,9.200,9200000,9199936,9199669,800000,800064,800331,800000,0.9200,0.5400,1.1568,heavy
0.7000,0.2500,0.0500,7000000,2500000,500000,1.429,4.000,20.000,1.314,3.680,18.398,9200000,9199985,9199154,800000,800015,800846,800000,0.9200,0.5550,1.0763,heavy
0.7000,0.3000,0.0000,7000000,3000000,0,1.429,3.333,Inf,1.314,3.067,999.000,9200000,9200000,0,800000,800000,10000000,800000,0.9200,0.5800,0.8813,heavy
0.7500,0.0000,0.2500,7500000,0,2500000,1.333,Inf,4.000,1.227,999.000,3.680,9200000,0,9199978,800000,10000000,800022,800000,0.9200,0.6250,0.8113,heavy
0.7500,0.0500,0.2000,7500000,500000,2000000,1.333,20.000,5.000,1.227,18.398,4.600,9200000,9199190,9199926,800000,800810,800074,800000,0.9200,0.6050,0.9918,heavy
0.7500,0.1000,0.1500,7500000,1000000,1500000,1.333,10.000,6.667,1.227,9.200,6.133,9200000,9199687,9199841,800000,800313,800159,800000,0.9200,0.5950,1.0540,heavy
0.7500,0.1500,0.1000,7500000,1500000,1000000,1.333,6.667,10.000,1.227,6.133,9.200,9200000,9199853,9199669,800000,800147,800331,800000,0.9200,0.5950,1.0540,heavy
0.7500,0.2000,0.0500,7500000,2000000,500000,1.333,5.000,20.000,1.227,4.600,18.398,9200000,9199936,9199154,800000,800064,800846,800000,0.9200,0.6050,0.9918,heavy
0.7500,0.2500,0.0000,7500000,2500000,0,1.333,4.000,Inf,1.227,3.680,999.000,9200000,9199985,0,800000,800015,10000000,800000,0.9200,0.6250,0.8113,heavy
0.8000,0.0000,0.2000,8000000,0,2000000,1.250,Inf,5.000,1.150,999.000,4.600,9200000,0,9199926,800000,10000000,800074,800000,0.9200,0.6800,0.7219,extreme
0.8000,0.0500,0.1500,8000000,500000,1500000,1.250,20.000,6.667,1.150,18.398,6.133,9200000,9199190,9199841,800000,800810,800159,800000,0.9200,0.6650,0.8842,extreme
0.8000,0.1000,0.1000,8000000,1000000,1000000,1.250,10.000,10.000,1.150,9.200,9.200,9200000,9199687,9199669,800000,800313,800331,800000,0.9200,0.6600,0.9219,extreme
0.8000,0.1500,0.0500,8000000,1500000,500000,1.250,6.667,20.000,1.150,6.133,18.398,9200000,9199853,9199154,800000,800147,800846,800000,0.9200,0.6650,0.8842,extreme
0.8000,0.2000,0.0000,8000000,2000000,0,1.250,5.000,Inf,1.150,4.600,999.000,9200000,9199936,0,800000,800064,10000000,800000,0.9200,0.6800,0.7219,extreme
0.8500,0.0000,0.1500,8500000,0,1500000,1.176,Inf,6.667,1.082,999.000,6.133,9200000,0,9199841,800000,10000000,800159,800000,0.9200,0.7450,0.6098,extreme
0.8500,0.0500,0.1000,8500000,500000,1000000,1.176,20.000,10.000,1.082,18.398,9.200,9200000,9199190,9199669,800000,800810,800331,800000,0.9200,0.7350,0.7476,extreme
0.8500,0.1000,0.0500,8500000,1000000,500000,1.176,10.000,20.000,1.082,9.200,18.398,9200000,9199687,9199154,800000,800313,800846,800000,0.9200,0.7350,0.7476,extreme
0.8500,0.1500,0.0000,8500000,1500000,0,1.176,6.667,Inf,1.082,6.133,999.000,9200000,9199853,0,800000,800147,10000000,800000,0.9200,0.7450,0.6098,extreme
0.9000,0.0000,0.1000,9000000,0,1000000,1.111,Inf,10.000,1.022,999.000,9.200,9200000,0,9199669,800000,10000000,800331,800000,0.9200,0.8200,0.4690,extreme
0.9000,0.0500,0.0500,9000000,500000,500000,1.111,20.000,20.000,1.022,18.398,18.398,9200000,9199190,9199154,800000,800810,800846,800000,0.9200,0.8150,0.5690,extreme
0.9000,0.1000,0.0000,9000000,1000000,0,1.111,10.000,Inf,1.022,9.200,999.000,9200000,9199687,0,800000,800313,10000000,800000,0.9200,0.8200,0.4690,extreme
0.9500,0.0000,0.0500,9500000,0,500000,1.053,Inf,20.000,0.968,999.000,18.398,9200000,0,9199154,800000,10000000,800846,800000,0.9200,0.9050,0.2864,extreme
0.9500,0.0500,0.0000,9500000,500000,0,1.053,20.000,Inf,0.968,18.398,999.000,9200000,9199190,0,800000,800810,10000000,800000,0.9200,0.9050,0.2864,extreme
1.0000,0.0000,0.0000,10000000,0,0,1.000,Inf,Inf,0.920,999.000,999.000,9200000,0,0,800000,10000000,10000000,800000,0.9200,1.0000,0.0000,extreme
